id,value
peas,0.8
pecorino,17.15
pepper,1.853
pesto,2.71
pesto without garlic,2.72
pig meat,7.2
pilchard,1.1
pineapple,0.415
pineapple juice,2.78
pistachio,1.6
plaice,6.13
plain crackers,1.35
plum,0.26
pollock,1.4
pollock,0.9
pollock stick ,2.14
pomegranate,0.745
pomelo,0.51
pomfret,6.63
porbeagle,11.44
pork bone free meat,5.72
pork ham,7.95
pork meat with bone,3.44
pork neck,4.03
pork sausages,17.94
potato,0.24
potatoes,0.3
poultry meat,6.1
prawns/shrimps,7.04
prawns/shrimps,15.07
pumpkin,0.24
quinoa,0.97
quorne,2.5
rabbit meat with bone,4.31
radish,0.15
raisin,0.81
rape seed,0.78
rapeseed oil,2.745
raspberries,1.18
raspberry,3.99
rhombus,8.41
rice,3.095
rice milk,0.66
ricotta,3.4
rock fish,6.94
rockmelon,0.39
root vegetables,0.3
rye,0.38
salmon,3.37
salmon,1.61
sardine,0.9
sea-bass,3.6
sesam seed,0.88
shark,11.44
shrimps (farmed),11.8
simple cookies,1.39
snails (escargot),0.73
sole,5.4
sole,14.28
sorghum,0.88
sorghum flour,1.33
soy burger,1.48
soy cream,1.62
soy meal,0.62
soy milk,0.78
soy yogurt,1.36
soybean,0.56
soybean oil,3.895
soymilk,1
spinach,0.34
squid,6.91
starchy roots,0.29
stracchino,4.92
strawberry,1.443
strawberry juice,2.68
sunflower oil,2.24
sunflower seed,1.16
swardfish,12.84
swede,0.29
sweet potato,0.27
tangerin,0.38
tempe,1.1
tofu,2.635
tomato,1.263
tomato & basil,1.14
tomato arrabbiata,1.24
tomato chopped,1.47
tomato peeled,1.3
tomato puree,1.03
tomatoes,1.4
trout,4.2
trout,4.38
tuna,3.68
tuna,2.64
tuna in can,2.1
turbot,14.51
turkey meat bone free,4.08
turkey meat with bone,2.13
turnip,0.35
vanilla,4.3
vegetables,0.54
walnut,2.06
watermelon,0.52
wheat,0.57
wheat & rye,1.4
wheat plain flour,0.52
whiting,2.66
whole wheat flour,0.36
wholegrain crackers,0.97
wine,1.4
wine red,0.87
wine white,0.44
yeast compressed,0.82
yeast dried,3.29
yeast liquid,0.5
yogurt flavoured,2.85
yogurt lactose free,3.47
yogurt white,1.69
zucchini,1.235
zucchini,1.35
dessert, 4.852
seafood, 8.434
bread, 2.3869
fried food, 4.3352
meat, 24.23428571
dairy product, 12.9346
rice, 2.5641
noodles-pasta, 2.7189
soup, 5.6379
vegetables-fruit, 0.8005294118
